Que y porque firmar? Artistas emporedados;Curso-taller;14/04/2018;15/04/2018;6;Espanyol;Basauri
Quien es el senyor Schmitt?;Teatro;06/10/2018;06/10/2018;34;Espanyol;Barakaldo
Quien es el senyor Schmitt?;Teatro;18/10/2018;18/10/2018;9;Espanyol;Vitoria-Gasteiz
Quien es el senyor Schmitt?;Teatro;31/10/2018;31/10/2018;9;Espanyol;Pamplona/Irunya
Quien soy?, monologo de Agustin Jimenez;Teatro;14/04/2018;14/04/2018;Gratis;Espanyol;Portugalete
«Heterotextil: El textil como material significativo en el proyecto artistico» Curso-taller con Malus Arbide & Beruta;Curso-taller;22/10/2018;09/11/2018;22;Espanyol;Bilbao
«Icononautas. Mirada y materialidad de la fotografia en el siglo XIX», laboratorio de fotografia con Marti Llorens y Rebecca Muttel en colaboracion con Getxophoto;Curso-taller;04/09/2018;06/09/2018;22;Espanyol;Bilbao
0 Km - Bertso-afaria: oihana Iguaran + Unai Mendizabal;Bertsolarismo;04/05/2018;04/05/2018;27;Euskera;Villabona
1, 2, 3... hemen da Miru;Actividad infantil;13/01/2018;13/01/2018;35;Euskera;Berriz
1, 2, 3... hemen da Miru;Actividad infantil;15/04/2018;15/04/2018;6;Euskera;ordizia
1. Concurso de Novela Corta de Getxo Ramiro Pinilla;Concurso;05/02/2018;23/04/2018;Gratis;Euskera / Espanyol;Getxo
10 igual a 10;Exposicion;01/06/2018;30/07/2018;27;Espanyol;Donostia / San Sebastian
10 Rillington Place;Proyeccion audiovisual;28/11/2018;29/11/2018;34;Espanyol;Bilbao
11 Ber Bi Festibala;otros;23/11/2018;14/12/2018;10;Euskera;Vitoria-Gasteiz
11. Begirada artistikoak;Exposicion;14/03/2018;29/03/2018;18;Euskera;Hendaye
110 Anyos 110 obras, exposicion con motivo del 110 aniversario del Museo de Bellas Artes de Bilbao;Exposicion;09/05/2018;17/09/2018;27;Espanyol;Bilbao
11º Aniversario de 7Katu;otros;22/01/2018;28/01/2018;35;Euskera / Espanyol;Bilbao
11º aniversario del grupo literario Sareinak;Conferencia;05/05/2018;05/05/2018;27;Euskera;Vitoria-Gasteiz
13 y martes;Teatro;17/03/2018;17/03/2018;12;Espanyol;Amurrio
13 y martes;Teatro;24/02/2018;24/02/2018;34;Espanyol;Astigarraga
13 y martes;Teatro;18/02/2018;18/02/2018;40;Espanyol;Eskoriatza
13 y martes;Teatro;23/02/2018;23/02/2018;9;Espanyol;Balmaseda
13 y martes;Teatro;19/10/2018;19/10/2018;9;Espanyol;Elgoibar
13 y martes;Teatro;19/10/2018;19/10/2018;9;Espanyol;Elgoibar
13 y martes;Teatro;11/05/2018;11/05/2018;9;Espanyol;Sestao
13 y martes;Teatro;17/03/2018;17/03/2018;9;Espanyol;Bergara
14-18ko gerla, komikien bitartez;Conferencia;08/11/2018;08/11/2018;10;Euskera;Ustaritz
150 gr. Artes escenicas en el mercado 2018;Festivales (Gazteinformazioa);26/12/2018;28/12/2018;10;Euskera / Espanyol;Vitoria-Gasteiz
16 de Noviembre en Ermua: organizadas, mujeres tejiendo la historia Ciclo cine-foro guatemalteco;Proyeccion audiovisual;16/11/2018;16/11/2018;Gratis;Espanyol;Ermua
16 milimetros;Curso-taller;21/12/2018;22/12/2018;10;Espanyol;Huarte/Uharte
17 objetivos para transformar nuestro mundo;Exposicion;25/10/2018;30/10/2018;15;Espanyol;Gernika-Lumo
17+1 helburu mundua eraldatzeko;Exposicion;03/12/2018;21/12/2018;Gratis;Euskera;Berriz
17+1 objetivos para transformar el mundo;Exposicion;21/02/2018;04/04/2018;35;Espanyol;Bilbao
17ª edicion de la Semana de la Sidra: El lagar del Caserio Igartubeiti se pondra en funcionamiento;otros;10/10/2018;19/10/2018;6;Euskera / Espanyol;Ezkio-Itsaso
18 cm;Exposicion;17/08/2018;09/09/2018;20;Espanyol;Irun
1914-1918 Euskal oroitzapena, Itzaletik argira;otros;10/11/2018;10/11/2018;10;Euskera;Bayonne
